"No.","Time","Source","Destination","Protocol","Length","Info"
"11","1.933581","192.168.43.150","27.112.79.120","TCP","66","63761  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"12","1.956534","27.112.79.120","192.168.43.150","TCP","66","443  >  63761 [SYN, ACK] Seq=0 Ack=1 Win=4200 Len=0 MSS=1400 WS=4 SACK_PERM=1"
"13","1.956830","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0"
"14","1.958527","192.168.43.150","27.112.79.120","TLSv1.3","707","Client Hello"
"15","1.987330","27.112.79.120","192.168.43.150","TCP","54","443  >  63761 [ACK] Seq=1 Ack=654 Win=4852 Len=0"
"16","2.033561","27.112.79.120","192.168.43.150","TLSv1.3","294","Server Hello, Change Cipher Spec, Application Data, Application Data"
"17","2.037022","192.168.43.150","27.112.79.120","TLSv1.3","118","Change Cipher Spec, Application Data"
"18","2.039041","192.168.43.150","27.112.79.120","TLSv1.3","670","Application Data"
"19","2.067042","27.112.79.120","192.168.43.150","TCP","54","443  >  63761 [ACK] Seq=241 Ack=718 Win=4916 Len=0"
"20","2.078678","27.112.79.120","192.168.43.150","TCP","54","443  >  63761 [ACK] Seq=241 Ack=1334 Win=5532 Len=0"
"21","2.094747","27.112.79.120","192.168.43.150","TLSv1.3","325","Application Data"
"22","2.145149","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=512 Win=65280 Len=0"
"23","2.168412","27.112.79.120","192.168.43.150","TLSv1.3","1454","Application Data"
"24","2.180637","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=1912 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"25","2.181088","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=3312 Win=65792 Len=0"
"26","2.181367","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=3312 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"27","2.198380","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=4712 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"28","2.198762","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=6112 Win=65792 Len=0"
"29","2.209463","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=6112 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"30","2.209907","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=7512 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"31","2.210072","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=8912 Win=65792 Len=0"
"32","2.210473","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=8912 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"33","2.214203","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=10312 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"34","2.214699","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=11712 Win=65792 Len=0"
"35","2.214950","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=11712 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"36","2.225406","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=13112 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"37","2.225885","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=14512 Win=65792 Len=0"
"38","2.236649","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=14512 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"39","2.237071","27.112.79.120","192.168.43.150","TLSv1.3","1454","Application Data [TCP segment of a reassembled PDU]"
"40","2.237071","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=17312 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"41","2.237208","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=18712 Win=65792 Len=0"
"42","2.237445","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=18712 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"43","2.237541","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=20112 Win=65792 Len=0"
"44","2.237672","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=20112 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"45","2.250815","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=21512 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"46","2.251174","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=22912 Win=65792 Len=0"
"47","2.262512","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=22912 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"48","2.268262","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=24312 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"49","2.268335","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=25712 Win=65792 Len=0"
"50","2.268629","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=25712 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"51","2.268629","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=27112 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"52","2.268654","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=28512 Win=65792 Len=0"
"53","2.268865","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=28512 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"54","2.269220","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=29912 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"55","2.269275","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=31312 Win=65792 Len=0"
"56","2.269454","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=31312 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"57","2.278355","27.112.79.120","192.168.43.150","TLSv1.3","1454","Application Data [TCP segment of a reassembled PDU]"
"58","2.278422","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=34112 Win=65792 Len=0"
"59","2.291035","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=34112 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"60","2.291035","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=35512 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
